"Data Source","World Development Indicators",

"Last Updated Date","2025-12-04",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Azerbaijan","AZE","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.0832196452933","86.8637724550898","140.799983402834","133.490445859873","55.3493194555644","85.8937107507733","80.8497401741931","82.0789665326283","77.2278091030634","69.8259648751026","78.5485682796041","78.8151854917601","92.8181443298969","107.551948506262","121.507115894117","115.841884607706","105.262399846369","96.6418081486575","89.2428968637573","74.7440416836369","74.9859884610856","80.5080450059522","78.263069540422","74.6758447629851","69.4832251953347","72.6015079073189","90.0773187345677","90.4023156823216","91.6725765369825","85.8181454084561","72.0178676487811","76.286865687015","86.9822732541779","83.5358861156321","82.6898691594703",
"Burundi","BDI","Trade (% of GDP)","NE.TRD.GNFS.ZS","25.8928574435131","27.5862079836929","29.5081958920413","21.8045114655597","26.1744966082609","22.8822529667839","23.7683401950761","22.6863662585732","23.662507797879","21.7532896713333","22.3097965544679","22.6074300410872","26.8094131157561","24.3489043362581","25.2873351845382","27.2774163190328","30.379360630475","34.8870291528506","31.9340935865245","36.8847861616734","32.1014455985716","31.1810462057784","37.1194209891435","33.7933398239583","35.056316693605","31.8135215539913","34.0388589004453","35.4835346628137","38.5439533047301","32.6893093927341","35.6481395516768","38.4225604772107","38.2261314127976","36.5429966027968","38.7535235814749","40.2046264145201","21.5737222729","24.2753792298716","27.4400299850075","23.5397452788757","22.5537244890286","20.9640456147222","21.6738294069666","27.3763120796107","31.5761181816532","35.0999988412936","42.4","38.7999987731993","47.1999995814015","35.8000035591914","39.5000053977394","43.0000028373483","43.7053731916201","46.6040790867655","42.995025805263","22.8382834157721","23.0437252570449","22.2402931011977","26.5997024647774","29.0262099997889","26.773329999595","28.8186599995439","28.315320358729","29.7369723066251","",
"Belgium","BEL","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","87.7273019754199","85.5840807687108","85.2144387292793","94.1440940214668","105.271077601296","91.5237486786852","96.8157584257173","95.6775227443742","92.3126039376739","101.572970541061","103.055447784319","110.221352145195","117.925349546572","120.395562511556","128.230735025444","123.876986090012","112.327024533852","109.919099925859","116.422946593266","124.936932679633","121.467851074465","118.59013771799","115.069287501636","109.012736996759","113.232300033612","116.378567821327","119.212775757383","125.68894005618","124.709122626318","125.169990540949","142.230135067034","139.576839834619","136.085149488081","132.715552833888","136.918405348432","144.529050669983","149.567509299511","152.468446875303","161.088447790447","135.13840572229","150.162563621427","160.765516888126","160.383301425059","157.573622782434","158.571610953523","155.068682045926","159.057696611945","166.904078237791","168.277692877218","165.46547893199","156.950121282783","177.381892440073","191.939444094087","168.961009401668","158.452949662035",
"Benin","BEN","Trade (% of GDP)","NE.TRD.GNFS.ZS","18.2341998166072","14.1181216852278","13.4771276576628","15.447259020027","17.3805034251725","22.1732736350777","23.0426078397633","27.4380883208416","28.4112293667841","33.2017249500644","39.6379034467417","45.6184127164884","41.1845516067007","41.6121426133332","43.8114045020463","47.9412279615522","44.0197577086964","50.9596855186593","51.0704526504407","54.5381681535616","53.1386195994861","59.8893720979652","57.8573353739462","45.3420118908271","50.5113034919755","60.3012179781571","49.2914176982042","46.2181352147978","45.8868280290306","38.3003673589405","45.7201821451396","51.3447168355486","56.7407458048553","55.3817991336605","64.4004792535565","63.800140010475","56.5177914456367","58.7116296113966","59.5936252981433","54.3917891538957","47.3481515012844","48.2571706392197","43.7684225364311","41.6162305574334","39.9029743365096","39.0959311879142","39.7746987128551","49.1137841529705","47.7753592695169","44.7026290629806","51.4308599492924","47.2170288118403","50.7367367791134","59.2001918331875","65.2682749404551","56.7563131849476","58.9869283378276","61.4765969588474","61.7951944903448","63.68133231423","44.8332333768726","48.0548608324409","44.3815928877424","44.6631308180211","40.6398022401523",
"Burkina Faso","BFA","Trade (% of GDP)","NE.TRD.GNFS.ZS","20.7013700595553","21.2188624397492","21.2379483918704","21.2485012803128","14.3172756393415","16.0292171246163","16.7002191862921","18.8558132843739","21.4921288241186","22.3496083648567","21.5970104218475","25.442556614231","27.688726861213","29.231336311371","32.7936788935997","37.4993707069501","35.2134956783333","38.4035337580082","35.2192484844596","37.5285780653351","40.213028682332","40.7115242526657","39.8197514428109","37.4582972460124","39.7187056640872","40.9475469828696","37.9617294229875","39.4399463300075","38.1296822765951","32.3947599439306","35.4226504401749","33.7962364263647","28.3740163771975","29.6250839534616","39.2292222386411","40.7474714183407","38.1802977691941","37.4164187803511","40.9397835752562","35.2548157814824","35.1229419704263","31.6581708148511","31.3125228527966","30.3682364077323","35.4809436017462","34.1721697681049","35.1065423554549","33.7797172895073","35.3853169801502","40.2959836735924","49.0732385398039","57.4972531038508","61.2386079818398","64.0358513024234","58.8235624937426","59.0891813101662","57.8931727994406","59.2687802020168","60.5956256236488","60.4086928753226","60.7397786403239","62.4203586607795","64.8438739203037","64.8223211154384","63.4283466232836",
"Bangladesh","BGD","Trade (% of GDP)","NE.TRD.GNFS.ZS","19.3039436708071","22.4823523745223","21.554848275691","21.6397630631354","24.1502678104311","23.0293137134448","22.9361029749964","21.9018601093214","19.9371403769383","19.8113211700256","20.8205969538367","17.0190718372794","19.4072895559385","18.3946565109774","14.0496210654104","10.9956261323865","22.3822749296616","19.4221981983695","21.0385149611892","21.9070635430834","23.377231112235","19.2471590909091","20.6069241937352","20.3168806212371","16.8117271749034","18.2221846249994","17.0187425082782","16.6877976312963","17.6780643099612","18.3251740190693","18.9665020125385","18.8898268850747","19.9340055024511","23.1215830698982","22.8658645545703","28.2094960764218","26.0760877233809","26.3255133900833","27.8800634028394","28.3879405571158","29.3217143619038","32.0980170730117","28.9673807211649","27.657884900158","26.8582341492431","34.396934864465","38.1119244325921","39.9423826531735","42.6209140325589","40.092796223023","37.8028426708321","47.4208498356898","48.1109227490467","46.2964027228174","44.5140801968096","42.0859963070382","31.3341501346142","29.9997306724343","32.5146317240884","31.5780544912404","26.271447376215","27.7240047036631","33.7799672705735","30.9829714104596","26.7780763393252",
"Bulgaria","BGR","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","66.3964173548912","70.1610468042275","67.4993968221142","74.0878629932986","78.3773116646511","85.9973677186588","83.5035643944016","83.4076531631779","91.4617513059035","94.578970772527","69.847060845197","82.6823876197494","100.049800796813","84.0414854466377","90.7201293759513","55.2627350026692","85.8207914540411","86.4637364673225","77.0452030341","90.0749616578503","77.7457041594489","79.0813687477668","75.2696110143524","79.0138853713575","93.063897964183","99.7142112127381","111.04746275381","123.532557660753","124.688747515359","92.6926456036375","103.380522321192","117.41810388629","123.971322714174","129.688682986482","130.248377115245","126.73664221295","122.805514356513","129.634429048004","128.865565279241","125.029963140694","110.324081132354","121.157354617771","138.84014681798","119.668120344213","109.288840792797",
"Bahrain","BHR","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","210.498536317485","220.86736918527","198.546425415554","166.774850725237","167.38843952925","168.514120007661","161.40219829886","166.893883947206","151.999720355893","163.820943501791","184.828804680899","158.867796593681","159.291898335568","144.763045585989","136.473470897416","134.086732319169","144.333450490306","130.672449001883","113.001418957352","124.735737154328","135.809135327865","127.026266277537","131.133634216392","128.091582155216","140.737310039923","148.313525108923","147.104181068989","137.785050572304","145.882511145821","117.963725409489","115.561486449616","167.529641035854","178.824020821684","184.58950884485","168.57585814186","147.916060172904","132.822997902774","136.429239810394","144.075372574535","135.417543398211","135.460985012931","153.799316485108","167.141241152535","157.447854682297","",
"Bahamas, The","BHS","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","148.793828892006","150.180201826045","129.075265039896","133.258443795402","129.75113915177","125.337388329215","124.584487534626","121.895056587134","124.061710865761","121.72295247725","117.126017580178","","111.000326583932","110.120025268478","106.118618136001","101.461563203602","103.359961190168","104.401963792574","104.465441819773","105.856747021336","79.7348855718879","77.7261671656993","75.7027383336782","79.6449438925669","72.5008806383396","70.2779817050926","71.063540505226","76.0019833710461","81.3962709176308","87.5507143032777","88.0128155625079","87.4292228766863","76.5210439633098","78.6756024311196","88.3336891598687","84.2515204656543","84.5484138879077","80.5370272284116","69.6779752652565","67.212921580015","68.334284038596","72.1542685971043","68.7866234842208","53.4207580670063","65.9325413308964","75.9829601059237","76.5494751592857","79.2424586933455",
"Bosnia and Herzegovina","BIH","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.847227683838","91.8796126648453","107.500043530726","100.630964756317","125.666609057011","121.820541564193","85.3577431341788","86.0357326558687","78.727479488695","80.5694572639365","81.8126836247759","84.3554628217984","79.8299477752016","83.551858889163","86.1628798430504","73.7474942255023","80.9682159626823","87.8363477136556","88.1451088628529","87.9312413116757","90.5522806874185","88.2919898407608","88.2440351685547","96.6458791411189","98.4320911961869","94.5161278874242","82.1112652572898","96.4859085777747","110.20596766123","99.6174933893972","99.9743522173299",
